PlayerCode,PlayerName,BowlerCode,Versus Player Type,Balls,Outs,4s,6s,Wicket Prob,Dot Prob,Single Prob,4 Prob,6 Prob
VK,Virat,1,Left-arm Chinaman,67,1,5,6,0.014925373,0.24,0.580895522,0.074626866,0.089552239
VK,Virat,2,Left-arm Fast,61,1,14,2,0.016393443,0.34,0.381311475,0.229508197,0.032786885
VK,Virat,3,Left-arm Medium,665,34,83,29,0.05112782,0.38,0.400451127,0.12481203,0.043609023
VK,Virat,4,Left-arm Orthodox,736,14,55,24,0.019021739,0.31,0.563641304,0.074728261,0.032608696
VK,Virat,5,Right-arm Fast,660,27,93,28,0.040909091,0.36,0.415757576,0.140909091,0.042424242
VK,Virat,6,Right-arm Legbreak,727,19,66,48,0.026134801,0.28,0.537056396,0.090784044,0.066024759
VK,Virat,7,Right-arm Medium,"1,939",75,261,76,0.038679732,0.36,0.427519339,0.134605467,0.039195462
VK,Virat,8,Right-arm Offbreak,556,14,47,20,0.025179856,0.32,0.534316547,0.084532374,0.035971223
RS,Rohit,1,Left-arm Chinaman,59,2,4,4,0.033898305,0.322,0.508508475,0.06779661,0.06779661
RS,Rohit,2,Left-arm Fast,44,3,5,1,0.068181818,0.523,0.272454545,0.113636364,0.022727273
RS,Rohit,3,Left-arm Medium,401,20,54,23,0.049875312,0.419,0.339104738,0.134663342,0.057356608
RS,Rohit,4,Left-arm Orthodox,659,14,47,20,0.02124431,0.334,0.543086494,0.071320182,0.030349014
RS,Rohit,5,Right-arm Fast,542,25,84,37,0.046125461,0.397,0.333627306,0.15498155,0.068265683
RS,Rohit,6,Right-arm Legbreak,664,28,47,30,0.042168675,0.343,0.498867469,0.070783133,0.045180723
RS,Rohit,7,Right-arm Medium,"1,822",79,251,115,0.043358946,0.375,0.380762898,0.137760703,0.063117453
RS,Rohit,8,Right-arm Offbreak,584,21,51,27,0.035958904,0.377,0.453479452,0.087328767,0.046232877
RP,Pant,1,Left-arm Chinaman,38,2,3,2,0.052631579,0.368,0.447789474,0.078947368,0.052631579
RP,Pant,2,Left-arm Fast,11,1,2,1,0.090909091,0.182,0.454363636,0.181818182,0.090909091
RP,Pant,3,Left-arm Medium,185,8,26,14,0.043243243,0.373,0.36754054,0.140540541,0.075675676
RP,Pant,4,Left-arm Orthodox,123,7,14,11,0.056910569,0.285,0.454837399,0.113821138,0.089430894
RP,Pant,5,Right-arm Fast,212,21,26,16,0.099056604,0.42,0.282830189,0.122641509,0.075471698
RP,Pant,6,Right-arm Legbreak,393,10,60,25,0.025445293,0.338,0.420269719,0.152671756,0.063613232
RP,Pant,7,Right-arm Medium,628,17,101,44,0.027070064,0.317,0.425038217,0.160828025,0.070063694
RP,Pant,8,Right-arm Offbreak,328,9,29,16,0.027439024,0.293,0.542365854,0.088414634,0.048780488
KL,KL Rahul,1,Left-arm Chinaman,17,1,2,2,0.058823529,0.06,0.645882353,0.117647059,0.117647059
KL,KL Rahul,2,Left-arm Fast,17,0,6,1,0,0.18,0.408235295,0.352941176,0.058823529
KL,KL Rahul,3,Left-arm Medium,426,10,47,29,0.023474178,0.38,0.418122067,0.110328638,0.068075117
KL,KL Rahul,4,Left-arm Orthodox,266,4,16,8,0.015037594,0.32,0.574736842,0.060150376,0.030075188
KL,KL Rahul,5,Right-arm Fast,460,12,68,22,0.026086957,0.4,0.378260869,0.147826087,0.047826087
